Winner,Loser,Date
Anna Kalinskaya,Lauren Davis,2024-08-27
Jessica Bouzas Maneiro,Petra Martic,2024-08-27
Anna Bondar,Bernarda Pera,2024-08-27
Elena Rybakina,Destanee Aiava,2024-08-27
Xinyu Wang,Arina Rodionova,2024-08-27
Clara Tauson,Anna-Karolina Schmiedlova,2024-08-27
Karolina Pliskova,Mayar Sherif,2024-08-27
Anastasia Potapova,Leylah Annie Fernandez,2024-08-27
Varvara Lepchenko,Brenda Fruhvirtova,2024-08-27
Sara Sorribes Tormo,Alexa Noel,2024-08-27
Diana Shnaider,Nadia Podoroska,2024-08-27
Beatriz Haddad Maia,Elina Avanesyan,2024-08-27
Liudmila Samsonova,Qiang Wang,2024-08-27
Marie Bouzkova,Eva Lys,2024-08-27
Yulia Putintseva,Linda Noskova,2024-08-27
Sebastian Korda,Corentin Moutet,2024-08-28
Fabian Marozsan,Hamad Medjedovic,2024-08-28
Flavio Cobolli,James Duckworth,2024-08-28
Gabriel Diallo,Jaume Munar,2024-08-28
Zizou Bergs,Pavel Kotov,2024-08-28
Christopher O'Connell,Nicolas Jarry,2024-08-28
Mattia Bellucci,Stan Wawrinka,2024-08-28
Carlos Alcaraz,Li Tu,2024-08-28
Tommy Paul,Lorenzo Sonego,2024-08-28
Grigor Dimitrov,Rinky Hijikata,2024-08-28
Jiri Lehecka,Mitchell Krueger,2024-08-28
Tomas Martin Etcheverry,Francisco Cerundolo,2024-08-28
Tallon Griekspoor,Sebastian Baez,2024-08-28
Brandon Nakashima,Arthur Cazaux,2024-08-28
Alexander Zverev,Alexandre Muller,2024-08-28
Frances Tiafoe,Alexander Shevchenko,2024-08-28
Andrey Rublev,Arthur Rinderknech,2024-08-28
Francisco Comesana,Ugo Humbert,2024-08-28
Juncheng Shang,Roberto Carballes Baena,2024-08-28
Alexei Popyrin,Pedro Martinez,2024-08-28
Ben Shelton,Roberto Bautista Agut,2024-08-28
Lorenzo Musetti,Miomir Kecmanovic,2024-08-28
Casper Ruud,Gael Monfils,2024-08-28
Karolina Pliskova,Mayar Sherif,2024-08-28
Anastasia Potapova,Leylah Annie Fernandez,2024-08-28
Beatriz Haddad Maia,Elina Avanesyan,2024-08-28
Liudmila Samsonova,Qiang Wang,2024-08-28
Marie Bouzkova,Eva Lys,2024-08-28
Yulia Putintseva,Linda Noskova,2024-08-28
Jasmine Paolini,Bianca Andreescu,2024-08-28
Sofia Kenin,Emma Raducanu,2024-08-28
Jessica Pegula,Shelby Rogers,2024-08-28
Paula Badosa,Taylor Townsend,2024-08-28
Elena-Gabriela Ruse,Barbora Krejcikova,2024-08-28
Elise Mertens,Ajla Tomljanovic,2024-08-28
Jule Niemeier,Moyuka Uchijima,2024-08-28
Madison Keys,Maya Joint,2024-08-28
Qinwen Zheng,Erika Andreeva,2024-08-28
Yafan Wang,Diane Parry,2024-08-28
Marta Kostyuk,Harriet Dart,2024-08-28
Ekaterina Alexandrova,Iva Jovic,2024-08-28
Aryna Sabalenka,Lucia Bronzetti,2024-08-28
Emma Navarro,Arantxa Rus,2024-08-28
Donna Vekic,Greet Minnen,2024-08-28
Peers / Siniakova,Matos / Stefani,2024-08-28
Grant / Kovacevic,Ngounoue / Tien,2024-08-28
Bucsa / Vliegen,Arevalo-Gonzalez / Zhang,2024-08-28
Andreozzi / Balaji,Daniell / Reyes-Varela,2024-08-28
Bhambri / Olivetti,Seggerman / Trhac,2024-08-28
Boyer / Nava,Gonzalez / Roger-Vasselin,2024-08-28
Krajicek / Rojer,Frantzen / Jebens,2024-08-28
Cash / Galloway,McDonald / Michelsen,2024-08-28
Dodig / Pavlasek,Harrison / Kirkov,2024-08-28
Arevalo-Gonzalez / Pavic,Fils / Mpetshi Perricard,2024-08-28
Skupski / Venus,Gaston / Jacq,2024-08-28
Purcell / Thompson,Giron / van de Zandschulp,2024-08-28
Borges / Cabral,Bergs / Marozsan,2024-08-28
Barrientos / Mansouri,Filin / Razeghi,2024-08-28
Heliovaara / Patten,Doumbia / Guinard,2024-08-28
Gonzalez / Molteni,Jarry / Rodriguez,2024-08-28
Krawietz / Puetz,Escobar / Nedovyesov,2024-08-28
Cobolli / Stricker,Kwon / Shapovalov,2024-08-28
Osorio Serrano / Parks,Gadecki / Wu,2024-08-28
Schuurs / Stefani,Aoyama / Hozumi,2024-08-28
Cristian / Moratelli,Eikeri / Neel,2024-08-28
Melichar-Martinez / Perez,Kessler / Santamaria,2024-08-28
Dolehide / Krawczyk,Baptiste / Osuigwe,2024-08-28
Montgomery / Ngounoue,Murray Sharan / Rosatello,2024-08-28
Andreeva / Pavlyuchenkova,Bucsa / Xu,2024-08-28
Boulter / Kalinskaya,Wang / Zheng,2024-08-28
Chan / Kudermetova,Cocciaretto / Tauson,2024-08-28
Kenin / Mattek-Sands,Babos / Kichenok,2024-08-28
Haddad Maia / Siegemund,Gracheva / Kalashnikova,2024-08-28
Kichenok / Ostapenko,Aney / Failla,2024-08-28
Martic / Rogers,Tomljanovic / Tomova,2024-08-28
Rakhimova / Sasnovich,Avanesyan / Piter,2024-08-28
Golubic / Moore,Rogers / Smith,2024-08-28
Bouzkova / Sorribes Tormo,Krueger / Stephens,2024-08-28
Lorenzo Musetti,Miomir Kecmanovic,2024-08-29
Casper Ruud,Gael Monfils,2024-08-29
Taylor Fritz,Matteo Berrettini,2024-08-29
Novak Djokovic,Laslo Djere,2024-08-29
Jordan Thompson,Hubert Hurkacz,2024-08-29
Tomas Machac,Sebastian Korda,2024-08-29
Christopher O'Connell,Mattia Bellucci,2024-08-29
Matteo Arnaldi,Roman Safiullin,2024-08-29
Jannik Sinner,Alex Michelsen,2024-08-29
Nuno Borges,Thanasi Kokkinakis,2024-08-29
David Goffin,Adrian Mannarino,2024-08-29
Jack Draper,Facundo Diaz Acosta,2024-08-29
Alex de Minaur,Otto Virtanen,2024-08-29
Flavio Cobolli,Zizou Bergs,2024-08-29
Gabriel Diallo,Arthur Fils,2024-08-29
Jakub Mensik,Tristan Schoolkate,2024-08-29
Daniel Evans,Mariano Navone,2024-08-29
Tommy Paul,Max Purcell,2024-08-29
Emma Navarro,Arantxa Rus,2024-08-29
Donna Vekic,Greet Minnen,2024-08-29
Victoria Azarenka,Clara Burel,2024-08-29
Coco Gauff,Tatjana Maria,2024-08-29
Elina Svitolina,Anhelina Kalinina,2024-08-29
Peyton Stearns,Daria Kasatkina,2024-08-29
Yulia Putintseva,Xinyu Wang,2024-08-29
Diana Shnaider,Clara Tauson,2024-08-29
Anna Kalinskaya,Anna Bondar,2024-08-29
Jessica Bouzas Maneiro,Katie Boulter,2024-08-29
Sara Errani,Caroline Dolehide,2024-08-29
Liudmila Samsonova,Marie Bouzkova,2024-08-29
Jasmine Paolini,Karolina Pliskova,2024-08-29
Ashlyn Krueger,Mirra Andreeva,2024-08-29
Beatriz Haddad Maia,Sara Sorribes Tormo,2024-08-29
Anastasia Potapova,Varvara Lepchenko,2024-08-29
Iga Swiatek,Ena Shibahara,2024-08-29
Jessica Pegula,Sofia Kenin,2024-08-29
Anastasia Pavlyuchenkova,Elisabetta Cocciaretto,2024-08-29
Jessika Ponchet,Elena Rybakina,2024-08-29
Grant / Kovacevic,Ngounoue / Tien,2024-08-29
Bucsa / Vliegen,Arevalo-Gonzalez / Zhang,2024-08-29
Hsieh / Zielinski,Eikeri / Gonzalez,2024-08-29
Ebden / Krejcikova,Chan / Krajicek,2024-08-29
Krueger / Kwiatkowski,Krawczyk / Skupski,2024-08-29
Parks / Withrow,Routliffe / Venus,2024-08-29
Krawietz / Puetz,Escobar / Nedovyesov,2024-08-29
Cobolli / Stricker,Kwon / Shapovalov,2024-08-29
Monteiro / Navone,Mannarino / Rinderknech,2024-08-29
Eysseric / Martin,King / Nakashima,2024-08-29
Erler / Middelkoop,Behar / Johnson,2024-08-29
Mies / Smith,Muller / Ofner,2024-08-29
Granollers / Zeballos,Cerundolo / Ugo Carabelli,2024-08-29
Lammons / Withrow,Krueger / Stalder,2024-08-29
Glasspool / Hijikata,Hidalgo / Tabilo,2024-08-29
Carballes Baena / Coria,Kotov / Seyboth Wild,2024-08-29
Goransson / Verbeek,Murray / Peers,2024-08-29
Cash / Tracy,Shevchenko / Weissborn,2024-08-29
Matos / Melo,Carreno Busta / Martos Gornes,2024-08-29
Nys / Zielinski,Martinez / Munar,2024-08-29
Bopanna / Ebden,Arends / Haase,2024-08-29
Gille / Vliegen,Kecmanovic / Safiullin,2024-08-29
Bolelli / Vavassori,Blumberg / Ruud,2024-08-29
Koolhof / Mektic,Griekspoor / Kokkinakis,2024-08-29
Bouzkova / Sorribes Tormo,Krueger / Stephens,2024-08-29
Mihalikova / Nicholls,Sun / Wang,2024-08-29
Lumsden / Siskova,Guo / Niculescu,2024-08-29
Muhammad / Watson,Uchijima / Yuan,2024-08-29
Corley / Corley,Alexandrova / Blinkova,2024-08-29
Kostyuk / Ruse,Kozlova / Volynets,2024-08-29
Harrison / Rosolska,Kalinina / Trevisan,2024-08-29
Mladenovic / Zhang,Hsieh / Mertens,2024-08-29
Dart / Parry,Noskova / Shnaider,2024-08-29
Dabrowski / Routliffe,Fernandez / Putintseva,2024-08-29
Jiang / Ninomiya,Bondar / Burel,2024-08-29
Danilina / Khromacheva,Grant / Jovic,2024-08-29
Errani / Paolini,Kato / Wang,2024-08-29
Shibahara / Sutjiadi,Maria / Schmiedlova,2024-08-29
Olmos / Panova,Rus / Stojanovic,2024-08-29
Siniakova / Townsend,Bronzetti / Samsonova,2024-08-29
Linette / Stearns,Potapova / Sizikova,2024-08-29
Gabriel Diallo,Arthur Fils,2024-08-30
Jakub Mensik,Tristan Schoolkate,2024-08-30
Daniel Evans,Mariano Navone,2024-08-30
Daniil Medvedev,Fabian Marozsan,2024-08-30
Botic van de Zandschulp,Carlos Alcaraz,2024-08-30
Frances Tiafoe,Ben Shelton,2024-08-30
Andrey Rublev,Jiri Lehecka,2024-08-30
Grigor Dimitrov,Tallon Griekspoor,2024-08-30
Taylor Fritz,Francisco Comesana,2024-08-30
Casper Ruud,Juncheng Shang,2024-08-30
Brandon Nakashima,Lorenzo Musetti,2024-08-30
Anastasia Pavlyuchenkova,Elisabetta Cocciaretto,2024-08-30
Karolina Muchova,Naomi Osaka,2024-08-30
Caroline Wozniacki,Renata Zarazua,2024-08-30
Paula Badosa,Elena-Gabriela Ruse,2024-08-30
Qinwen Zheng,Jule Niemeier,2024-08-30
Coco Gauff,Elina Svitolina,2024-08-30
Yafan Wang,Victoria Azarenka,2024-08-30
Emma Navarro,Marta Kostyuk,2024-08-30
Donna Vekic,Peyton Stearns,2024-08-30
Koolhof / Mektic,Griekspoor / Kokkinakis,2024-08-30
Ram / Salisbury,Darderi / Romboli,2024-08-30
Heliovaara / Patten,Cobolli / Stricker,2024-08-30
Gonzalez / Molteni,Cash / Tracy,2024-08-30
Bhambri / Olivetti,Krajicek / Rojer,2024-08-30
Purcell / Thompson,Mies / Smith,2024-08-30
Skupski / Venus,Andreozzi / Balaji,2024-08-30
Bopanna / Ebden,Carballes Baena / Coria,2024-08-30
Krawietz / Puetz,Monteiro / Navone,2024-08-30
Borges / Cabral,Nys / Zielinski,2024-08-30
Ebden / Krejcikova,Chan / Krajicek,2024-08-30
Krueger / Kwiatkowski,Krawczyk / Skupski,2024-08-30
Parks / Withrow,Routliffe / Venus,2024-08-30
Kichenok / Nys,Dodig / Melichar-Martinez,2024-08-30
Gille / Perez,Doumbia / Kichenok,2024-08-30
Errani / Vavassori,Galloway / Rogers,2024-08-30
Gonzalez / Olmos,Badosa / Tsitsipas,2024-08-30
Danilina / Heliovaara,Dabrowski / Salisbury,2024-08-30
Mateas / McDonald,Martin / Panova,2024-08-30
Townsend / Young,Molteni / Muhammad,2024-08-30
Bopanna / Sutjiadi,Puetz / Schuurs,2024-08-30
Danilina / Khromacheva,Grant / Jovic,2024-08-30
Shibahara / Sutjiadi,Maria / Schmiedlova,2024-08-30
Olmos / Panova,Rus / Stojanovic,2024-08-30
Siniakova / Townsend,Bronzetti / Samsonova,2024-08-30
Linette / Stearns,Potapova / Sizikova,2024-08-30
Haddad Maia / Siegemund,Montgomery / Ngounoue,2024-08-30
Kenin / Mattek-Sands,Lumsden / Siskova,2024-08-30
Bouzkova / Sorribes Tormo,Rakhimova / Sasnovich,2024-08-30
Dart / Parry,Errani / Paolini,2024-08-30
Cristian / Moratelli,Martic / Rogers,2024-08-30
Andreeva / Pavlyuchenkova,Osorio Serrano / Parks,2024-08-30
Schuurs / Stefani,Boulter / Kalinskaya,2024-08-30
Chan / Kudermetova,Corley / Corley,2024-08-30
Casper Ruud,Juncheng Shang,2024-08-31
Brandon Nakashima,Lorenzo Musetti,2024-08-31
Alexei Popyrin,Novak Djokovic,2024-08-31
Alexander Zverev,Tomas Martin Etcheverry,2024-08-31
Tomas Machac,David Goffin,2024-08-31
Jack Draper,Botic van de Zandschulp,2024-08-31
Jannik Sinner,Christopher O'Connell,2024-08-31
Tommy Paul,Gabriel Diallo,2024-08-31
Nuno Borges,Jakub Mensik,2024-08-31
Jordan Thompson,Matteo Arnaldi,2024-08-31
Elise Mertens,Madison Keys,2024-08-31
Aryna Sabalenka,Ekaterina Alexandrova,2024-08-31
Jasmine Paolini,Yulia Putintseva,2024-08-31
Karolina Muchova,Anastasia Potapova,2024-08-31
Jessica Pegula,Jessica Bouzas Maneiro,2024-08-31
Diana Shnaider,Sara Errani,2024-08-31
Liudmila Samsonova,Ashlyn Krueger,2024-08-31
Caroline Wozniacki,Jessika Ponchet,2024-08-31
Bopanna / Sutjiadi,Puetz / Schuurs,2024-08-31
Bigun / Jovic,Purcell / Yastremska,2024-08-31
Ebden / Krejcikova,Bigun / Jovic,2024-08-31
Grant / Kovacevic,Parks / Withrow,2024-08-31
Hsieh / Zielinski,Gonzalez / Olmos,2024-08-31
Townsend / Young,Kichenok / Nys,2024-08-31
Bopanna / Sutjiadi,Peers / Siniakova,2024-08-31
Granollers / Zeballos,Erler / Middelkoop,2024-08-31
Boyer / Nava,Cash / Galloway,2024-08-31
Arevalo-Gonzalez / Pavic,Gille / Vliegen,2024-08-31
Lammons / Withrow,Eysseric / Martin,2024-08-31
Dodig / Pavlasek,Barrientos / Mansouri,2024-08-31
Ram / Salisbury,Glasspool / Hijikata,2024-08-31
Koolhof / Mektic,Matos / Melo,2024-08-31
Bolelli / Vavassori,Goransson / Verbeek,2024-08-31
Melichar-Martinez / Perez,Golubic / Moore,2024-08-31
Siniakova / Townsend,Kostyuk / Ruse,2024-08-31
Muhammad / Watson,Olmos / Panova,2024-08-31
Mihalikova / Nicholls,Shibahara / Sutjiadi,2024-08-31
Kichenok / Ostapenko,Jiang / Ninomiya,2024-08-31
Dabrowski / Routliffe,Harrison / Rosolska,2024-08-31
Mladenovic / Zhang,Linette / Stearns,2024-08-31
Danilina / Khromacheva,Dolehide / Krawczyk,2024-08-31
Nuno Borges,Jakub Mensik,2024-09-01
Jordan Thompson,Matteo Arnaldi,2024-09-01
Alex de Minaur,Daniel Evans,2024-09-01
Daniil Medvedev,Flavio Cobolli,2024-09-01
Grigor Dimitrov,Andrey Rublev,2024-09-01
Taylor Fritz,Casper Ruud,2024-09-01
Alexander Zverev,Brandon Nakashima,2024-09-01
Iga Swiatek,Anastasia Pavlyuchenkova,2024-09-01
Beatriz Haddad Maia,Anna Kalinskaya,2024-09-01
Paula Badosa,Yafan Wang,2024-09-01
Emma Navarro,Coco Gauff,2024-09-01
Granollers / Zeballos,Bhambri / Olivetti,2024-09-01
Krawietz / Puetz,Bolelli / Vavassori,2024-09-01
Purcell / Thompson,Borges / Cabral,2024-09-01
Gonzalez / Molteni,Bopanna / Ebden,2024-09-01
